Store,SKU,PN,URL,display_size,display_resolution,touchscreen,processor_brand,processor_family,processor_model,processor_speed,processor_cores,operating_system,storage_capacity,std_ram
office depot,279869,Office Depot279869,http://www.officedepot.com/a/products/279869/Lenovo-C40-Touch-All-In-One/,,,,,,,,,,,
office depot,150213,Office Depot150213,http://www.officedepot.com/a/products/150213/HP-23-r110-All-In-One/,,,,,,,,,,,
office depot,249100,Office Depot249100,http://www.officedepot.com/a/products/249100/HP-Pavilion-All-In-One-Desktop/,,,,,,,,,,,
